WiktionaryCode	iso-639-3	Canonical name	Family	Scripts	Lang Package Python
mit	mit	Southern Puebla Mixtec	Mixtec	Latn	Southern Puebla Mixtec
miu	miu	Cacaloxtepec Mixtec	Mixtec	Latn	Cacaloxtepec Mixtec
miw	miw	Akoye	Trans-New Guinea	Latn	Akoye
mix	mix	Mixtepec Mixtec	Mixtec	Latn	Mixtepec Mixtec
miy	miy	Ayutla Mixtec	Mixtec	Latn	Ayutla Mixtec
miz	miz	Coatzospan Mixtec	Mixtec	Latn	Coatzospan Mixtec
mjb	mjb	Makalero	Trans-New Guinea	Latn	Makalero
mjc	mjc	San Juan Colorado Mixtec	Mixtec	Latn	San Juan Colorado Mixtec
mjd	mjd	Northwest Maidu	Maiduan	Latn	Northwest Maidu
mje	mje	Muskum			Muskum
mji	mji	Kim Mun	Mien		Kim Mun
mjj	mjj	Mawak	Madang		Mawak
mjk	mjk	Matukar	Western Oceanic	Latn	Matukar
mjl	mjl	Mandeali	Western Pahari	Deva, Takr	Mandeali
mjm	mjm	Medebur	Western Oceanic	Latn	Medebur
mjn	mjn	Mebu	Finisterre		Ma (Papua New Guinea)
mjo	mjo	Malankuravan	Dravidian		Malankuravan
mjp	mjp	Malapandaram	Dravidian		Malapandaram
mjq	mjq	Malaryan	Dravidian		Malaryan
mjr	mjr	Malavedan	Dravidian		Malavedan
mjs	mjs	Miship	West Chadic	Latn	Miship
mjt	mjt	Sawriya Paharia	Dravidian	Beng, Deva	Sauria Paharia
mju	mju	Manna-Dora	Dravidian		Manna-Dora
mjv	mjv	Mannan	Dravidian		Mannan
mjw	mjw	Karbi	Kukish	Latn	Karbi
mjx	mjx	Mahali	Munda		Mahali
mjy	mjy	Mahican	Eastern Algonquian	Latn	Mahican
mjz	mjz	Majhi	Eastern Indo-Aryan		Majhi
mka	mka	Mbre	Niger-Congo		Mbre
mkb	mkb	Mal Paharia			Mal Paharia
mkc	mkc	Siliput	Torricelli	Latn	Siliput
mke	mke	Mawchi			Mawchi
mkf	mkf	Miya	West Chadic	Latn	Miya
mkg	mkg	Mak (China)	Kam-Sui		Mak (China)
mki	mki	Dhatki	Western Indo-Aryan		Dhatki
mkj	mkj	Mokilese	Micronesian	Latn	Mokilese
mkk	mkk	Byep	Makaa		Byep
mkl	mkl	Mokole			Mokole
mkm	mkm	Moklen			Moklen
mkn	mkn	Kupang Malay	creole or pidgin		Kupang Malay
mko	mko	Mingang Doso	Bikwin-Jen		Mingang Doso
mkp	mkp	Moikodi	Trans-New Guinea		Moikodi
mkq	mkq	Bay Miwok	Yok-Utian	Latn	Bay Miwok
mkr	mkr	Malas	Madang		Malas
mks	mks	Silacayoapan Mixtec	Mixtec	Latn	Silacayoapan Mixtec
mkt	mkt	Vamale	New Caledonian	Latn	Vamale
mku	mku	Konyanka Maninka	Maninka		Konyanka Maninka
mkv	mkv	Mafea	North-Central Vanuatu	Latn	Mafea
mkx	mkx	Cinamiguin Manobo	Manobo		Kinamiging Manobo
mky	mky	East Makian	Halmahera-Cenderawasih	Latn	East Makian
mkz	mkz	Makasae	Trans-New Guinea		Makasae
mla	mla	Tamambo	North-Central Vanuatu	Latn	Malo
mlb	mlb	Mbule	Yambasa	Latn	Mbule
mlc	mlc	Caolan	Chongzuo Tai	Latn, Hani	Cao Lan
mle	mle	Manambu	Sepik	Latn	Manambu
mlf	mlf	Mal	Khmuic		Mal
mlh	mlh	Mape			Mape
mli	mli	Malimpung			Malimpung
mlj	mlj	Miltu			Miltu
mlk	mlk	Ilwana	Sabaki		Ilwana
mll	mll	Malua Bay	North-Central Vanuatu	Latn	Malua Bay
mlm	mlm	Mulam	Kam-Sui	Latn	Mulam
mln	mln	Malango	Southeast Solomonic	Latn	Malango
mlo	mlo	Mlomp	Bak		Mlomp
mlp	mlp	Bargam	Madang	Latn	Bargam
mlq	mlq	Western Maninkakan	West Manding		Western Maninkakan
mlr	mlr	Vame			Vame
mls	mls	Masalit	Nilo-Saharan		Masalit
mlu	mlu	To'abaita	Southeast Solomonic	Latn	To'abaita
mlv	mlv	Mwotlap	North-Central Vanuatu	Latn	Motlav
mlw	mlw	Moloko	Central Chadic	Latn	Moloko
mlx	mlx	Malfaxal	North-Central Vanuatu	Latn	Malfaxal
mlz	mlz	Malaynon	Philippine		Malaynon
mma	mma	Mama	Jarawan		Mama
mmb	mmb	Momina			Momina
mmc	mmc	Michoacán Mazahua	Otomian	Latn	Michoacán Mazahua
mmd	mmd	Maonan	Kam-Sui	Latn	Maonan
mme	mme	Mae	North-Central Vanuatu	Latn	Mae
mmf	mmf	Mundat	West Chadic	Latn	Mundat
mmg	mmg	North Ambrym	North-Central Vanuatu	Latn	North Ambrym
mmh	mmh	Mehináku	Arawakan	Latn	Mehináku
mmi	mmi	Musar	Madang		Musar
mmj	mmj	Majhwar			Majhwar
mmk	mmk	Mukha-Dora			Mukha-Dora
mml	mml	Man Met	Palaungic		Man Met
mmm	mmm	Maii	North-Central Vanuatu	Latn	Maii
mmn	mmn	Mamanwa	Philippine	Latn	Mamanwa
mmo	mmo	Mangga Buang	Western Oceanic	Latn	Mangga Buang
mmp	mmp	Musan	Arai-Samaia		Siawi
mmq	mmq	Aisi	Madang	Latn	Musak
mmr	mmr	Western Xiangxi Miao	Hmong		Western Xiangxi Miao
mmt	mmt	Malalamai	Western Oceanic	Latn	Malalamai
mmu	mmu	Mmaala	Yambasa	Latn	Mmaala
mmv	mmv	Miriti	Tucanoan	Latn	Miriti
mmw	mmw	Emae	Nuclear Polynesian	Latn	Emae
mmx	mmx	Madak	Western Oceanic	Latn	Madak
mmy	mmy	Migaama	East Chadic	Latn	Migaama
mmz	mmz	Mabaale	Ngondi-Ngiri		Mabaale
mna	mna	Mbula	Western Oceanic	Latn	Mbula
mnb	mnb	Muna	Muna-Buton	Latn	Muna
mnc	mnc	Manchu	Tungusic	mnc-Mong	Manchu
mnd	mnd	Mondé	Tupian	Latn	Mondé
mne	mne	Naba	Bagirmi		Naba
mnf	mnf	Mundani	Momo	Latn	Mundani
mng	mng	Eastern Mnong	Bahnaric		Eastern Mnong
mnh	mnh	Mono (Congo)	Central Banda	Latn	Mono (Democratic Republic of Congo)
mni	mni	Manipuri	Sino-Tibetan	Mtei, Beng	Manipuri
mnj	mnj	Munji	Munji-Yidgha		Munji
mnk	mnk	Mandinka	West Manding	Latn	Mandinka
mnl	mnl	Tiale	North-Central Vanuatu	Latn	Tiale
mnm	mnm	Mapena			Mapena
mnn	mnn	Southern Mnong			Southern Mnong
mnp	mnp	Min Bei	Inland Min	Hani, Hant, Hans	Min Bei Chinese
mnq	mnq	Minriq	Aslian		Minriq
mnr	mnr	Mono (California)	Numic	Latn	Mono (USA)
mns	mns	Mansi	Ugric	Cyrl	Mansi
mnu	mnu	Mer			Mer
mnv	mnv	Rennellese	Nuclear Polynesian	Latn	Rennell-Bellona
mnw	mnw	Mon	Monic	Mymr	Mon
mnx	mnx	Manikion	West Papuan		Manikion
mny	mny	Manyawa	Makua		Manyawa
mnz	mnz	Moni			Moni
moa	moa	Mwan	Nwa-Beng	Latn	Mwan
moc	moc	Mocoví	Guaicuruan	Latn	Mocoví
mod	mod	Mobilian	creole or pidgin	Latn	Mobilian
moe	moe	Montagnais	Algonquian	Latn	Innu
mog	mog	Mongondow	Philippine	Latn	Mongondow
moh	moh	Mohawk	North Iroquoian	Latn	Mohawk
moi	moi	Mboi	Yungur		Mboi
moj	moj	Monzombo	Kpala	Latn	Monzombo
mok	mok	Morori			Morori
mom	mom	Monimbo			Mangue
moo	moo	Monom	Bahnaric		Monom
mop	mop	Mopan Maya	Mayan	Latn	Mopán Maya
moq	moq	Mor (Papuan)	Papuan		Mor (Bomberai Peninsula)
mor	mor	Moro	Heiban		Moro
mos	mos	Moore	Moré	Latn	Mossi
mot	mot	Barí	Chibchan	Latn	Barí
mou	mou	Mogum	East Chadic	Latn	Mogum
mov	mov	Mojave	Yuman-Cochimí	Latn	Mohave
mow	mow	Moi (Congo)	Bangi-Moi	Latn	Moi (Congo)
mox	mox	Molima	Western Oceanic	Latn	Molima
moy	moy	Shekkacho	Gonga		Shekkacho
moz	moz	Mukulu	East Chadic		Mukulu
mpa	mpa	Mpoto	Mbinga		Mpoto
mpb	mpb	Mullukmulluk			Malak Malak
mpc	mpc	Mangarayi			Mangarrayi
mpd	mpd	Machinere	Arawakan	Latn	Machinere
mpe	mpe	Majang	Eastern Sudanic		Majang
mpg	mpg	Marba	Masa		Marba
mph	mph	Maung	Iwaidjan	Latn	Maung
mpi	mpi	Mpade	Central Chadic	Latn	Mpade
mpj	mpj	Martu Wangka	Pama-Nyungan	Latn	Martu Wangka
mpk	mpk	Mbara (Chad)	Central Chadic		Mbara (Chad)
mpl	mpl	Middle Watut	Western Oceanic	Latn	Middle Watut
mpm	mpm	Yosondúa Mixtec	Mixtec	Latn	Yosondúa Mixtec
mpn	mpn	Mindiri	Western Oceanic	Latn	Mindiri
mpo	mpo	Miu	Western Oceanic	Latn	Miu
mpp	mpp	Migabac			Migabac
mpq	mpq	Matís	Panoan	Latn	Matís
mpr	mpr	Vangunu	Western Oceanic	Latn	Vangunu
mps	mps	Dadibi	Trans-New Guinea	Latn	Dadibi
mpt	mpt	Mian	Ok	Latn	Mian
mpu	mpu	Makuráp	Tupian	Latn	Makuráp
mpv	mpv	Mungkip	Finisterre	Latn	Mungkip
mpw	mpw	Mapidian	Arawakan	Latn	Mapidian
mpx	mpx	Misima-Paneati	Western Oceanic	Latn	Misima-Panaeati
mpy	mpy	Mapia	Micronesian	Latn	Mapia
mpz	mpz	Mpi	Loloish		Mpi
mqa	mqa	Maba			Maba (Indonesia)
mqb	mqb	Mbuko	Central Chadic	Latn	Mbuko
mqc	mqc	Mangole	Central Maluku	Latn	Mangole
mqe	mqe	Matepi	Madang		Matepi
mqf	mqf	Momuna			Momuna
mqg	mqg	Kota Bangun Kutai Malay			Kota Bangun Kutai Malay
mqh	mqh	Tlazoyaltepec Mixtec	Mixtec	Latn	Tlazoyaltepec Mixtec
mqi	mqi	Mariri			Mariri
mqj	mqj	Mamasa	South Sulawesi	Latn	Mamasa
mqk	mqk	Rajah Kabunsuwan Manobo	Manobo		Rajah Kabunsuwan Manobo
mql	mql	Mbelime	Eastern Oti-Volta		Mbelime
mqm	mqm	South Marquesan	Eastern Polynesian	Latn	South Marquesan
mqn	mqn	Moronene	Bungku-Tolaki	Latn	Moronene
mqo	mqo	Modole	North Halmahera		Modole
mqp	mqp	Manipa	Central Maluku	Latn	Manipa
mqq	mqq	Minokok			Minokok
mqr	mqr	Mander	Tor-Kwerba		Mander
mqs	mqs	West Makian	North Halmahera		West Makian
mqt	mqt	Mok	Palaungic		Mok
mqu	mqu	Mandari	Bari		Mandari
mqv	mqv	Mosimo	Madang	Latn	Mosimo
mqw	mqw	Murupi	Madang	Latn	Murupi
mqx	mqx	Mamuju	South Sulawesi	Latn	Mamuju
mqy	mqy	Manggarai	Central-Eastern Malayo-Polynesian	Latn	Manggarai
mqz	mqz	Malasanga	Western Oceanic	Latn	Pano
mra	mra	Mlabri	Mon-Khmer		Mlabri
mrb	mrb	Marino			Marino
mrc	mrc	Maricopa	Yuman-Cochimí	Latn	Maricopa
mrd	mrd	Western Magar	Greater Magaric		Western Magar
mre	mre	Martha's Vineyard Sign Language	sign	Latn, Sgnw	Martha's Vineyard Sign Language
mrf	mrf	Elseng	Border		Elseng
mrg	mrg	Mising	Tani	Latn, Beng, Deva	Mising
mrh	mrh	Mara Chin	Kukish	Latn	Mara Chin
mrj	mrj	Western Mari	Mari	Cyrl	Western Mari
mrk	mrk	Hmwaveke	New Caledonian	Latn	Hmwaveke
mrl	mrl	Mortlockese	Micronesian	Latn	Mortlockese
mrm	mrm	Merlav	North-Central Vanuatu	Latn	Merlav
mrn	mrn	Cheke Holo	Western Oceanic	Latn	Cheke Holo
mro	mro	Mru	Mruic	Latn, Mroo	Mru
mrp	mrp	Morouas	North-Central Vanuatu	Latn	Morouas
mrq	mrq	North Marquesan	Eastern Polynesian	Latn	North Marquesan
mrr	mrr	Hill Maria	Dravidian		Maria (India)
mrs	mrs	Maragus	North-Central Vanuatu	Latn	Maragus
mrt	mrt	Margi	Central Chadic	Latn	Marghi Central
mru	mru	Mono (Cameroon)	Mbum	Latn	Mono (Cameroon)
mrv	mrv	Mangarevan	Eastern Polynesian	Latn	Mangareva
mrw	mrw	Maranao	Philippine	Latn, Arab	Maranao
mrx	mrx	Dineor	Tor-Kwerba		Maremgi
mry	mry	Karaga Mandaya	Philippine		Mandaya
mrz	mrz	Marind			Marind
msb	msb	Masbatenyo	Philippine	Latn	Masbatenyo
msc	msc	Sankaran Maninka	Maninka		Sankaran Maninka
msd	msd	Yucatec Maya Sign Language	sign	Latn	Yucatec Maya Sign Language
mse	mse	Musey	Masa		Musey
msf	msf	Mekwei	Nimboran	Latn	Mekwei
msg	msg	Moraid			Moraid
msi	msi	Sabah Malay	creole or pidgin		Sabah Malay
msj	msj	Ma	Mba	Latn	Ma (Democratic Republic of Congo)
msk	msk	Mansaka	Philippine	Latn	Mansaka
msl	msl	Molof			Molof
msm	msm	Agusan Manobo	Manobo		Agusan Manobo
msn	msn	Vurës	North-Central Vanuatu	Latn	Vurës
mso	mso	Mombum			Mombum
msp	msp	Maritsauá	Tupian	Latn	Maritsauá
msq	msq	Caac	New Caledonian	Latn	Caac
msr	msr	Mongolian Sign Language	sign		Mongolian Sign Language
mss	mss	West Masela	Timoric		West Masela
msu	msu	Musom	Western Oceanic	Latn	Musom
msv	msv	Maslam			Maslam
msw	msw	Mansoanka			Mansoanka
msx	msx	Moresada			Moresada
msy	msy	Aruamu	Papuan	Latn	Aruamu
msz	msz	Momare			Momare
mta	mta	Cotabato Manobo	Manobo		Cotabato Manobo
mtb	mtb	Anyin Morofo	Central Tano	Latn	Anyin Morofo
mtc	mtc	Munit	Madang		Munit
mtd	mtd	Mualang	Malayic		Mualang
mte	mte	Alu	Western Oceanic	Latn	Mono (Solomon Islands)
mtf	mtf	Murik (New Guinea)	Lower Sepik	Latn	Murik (Papua New Guinea)
mtg	mtg	Una			Una
mth	mth	Munggui	Halmahera-Cenderawasih	Latn	Munggui
mti	mti	Maiwa (New Guinea)	Trans-New Guinea	Latn	Maiwa (Papua New Guinea)
mtj	mtj	Moskona			Moskona
mtk	mtk	Mbe'	Nkambe	Latn	Mbe'
mtl	mtl	Montol	West Chadic	Latn	Montol
mtm	mtm	Mator	Samoyedic	Cyrl	Mator
mtn	mtn	Matagalpa	Misumalpan		Matagalpa
mto	mto	Totontepec Mixe	Mixe-Zoquean		Totontepec Mixe
mtp	mtp	Wichí Lhamtés Nocten	Wichí	Latn	Wichí Lhamtés Nocten
mtq	mtq	Muong	Vietic	Latn	Muong
mtr	mtr	Mewari	Western Indo-Aryan	Deva	Mewari
mts	mts	Yora	Panoan	Latn	Yora
mtt	mtt	Mota	North-Central Vanuatu	Latn	Mota
mtu	mtu	Tututepec Mixtec	Mixtec	Latn	Tututepec Mixtec
mtv	mtv	Asaro'o	Finisterre	Latn	Asaro'o
mtw	mtw	Magahat	Philippine		Southern Binukidnon
mtx	mtx	Tidaá Mixtec	Mixtec	Latn	Tidaá Mixtec
mty	mty	Nabi	Torricelli	Latn	Nabi
mua	mua	Mundang	Mbum		Mundang
mub	mub	Mubi	East Chadic	Latn	Mubi
muc	muc	Mbu'	Beboid	Latn	Ajumbu
mud	mud	Mednyj Aleut			Mednyj Aleut
mue	mue	Media Lengua	creole or pidgin	Latn	Media Lengua
mug	mug	Musgu	Central Chadic	Latn	Musgu
muh	muh	Mündü	Eastern Ngbaka	Latn	Mündü
mui	mui	Musi	Malayic	Latn	Musi
muj	muj	Mabire			Mabire
mul	mul	Translingual	not a family	All	Multiple languages
mum	mum	Maiwala	Western Oceanic	Latn	Maiwala
muo	muo	Nyong	Leko		Nyong
mup	mup	Malvi	Western Indo-Aryan	Deva	Malvi
muq	muq	Eastern Xiangxi Miao	Hmong		Eastern Xiangxi Miao
mur	mur	Murle	Eastern Sudanic		Murle
mus	mus	Creek	Muskogean	Latn	Creek
mut	mut	Western Muria	Dravidian		Western Muria
muu	muu	Yaaku	East Cushitic		Yaaku
muv	muv	Muthuvan	Dravidian		Muthuvan
mux	mux	Bo-Ung			Bo-Ung
muy	muy	Muyang	Central Chadic	Latn	Muyang
muz	muz	Mursi	Eastern Sudanic		Mursi
mva	mva	Manam	Western Oceanic	Latn	Manam
mvb	mvb	Mattole	Pacific Coast Athabaskan	Latn	Mattole
mvd	mvd	Mamboru	Malayo-Polynesian		Mamboru
mvg	mvg	Yucuañe Mixtec	Mixtec	Latn	Yucuañe Mixtec
mvh	mvh	Mire			Mulgi
mvi	mvi	Miyako	Ryukyuan	Jpan	Miyako
mvk	mvk	Mekmek	Yuat		Mekmek
mvl	mvl	Mbara (Australia)	Pama-Nyungan		Mbara (Australia)
mvn	mvn	Minaveha	Western Oceanic	Latn	Minaveha
mvo	mvo	Marovo	Western Oceanic	Latn	Marovo
mvp	mvp	Duri	South Sulawesi		Duri
mvq	mvq	Moere	Madang		Moere
mvr	mvr	Marau	Halmahera-Cenderawasih	Latn	Marau
mvs	mvs	Massep	Tor-Kwerba		Massep
mvt	mvt	Mpotovoro	North-Central Vanuatu	Latn	Mpotovoro
mvu	mvu	Marfa			Marfa
mvv	mvv	Tagal Murut	Sabahan	Latn	Tagal Murut
mvw	mvw	Machinga	Ruvuma		Machinga
mvx	mvx	Meoswar	Halmahera-Cenderawasih	Latn	Meoswar
mvy	mvy	Indus Kohistani	Dardic		Indus Kohistani
mvz	mvz	Mesqan	Ethiopian Semitic		Mesqan
mwa	mwa	Mwatebu	Western Oceanic	Latn	Mwatebu
mwb	mwb	Juwal	Torricelli	Latn	Juwal
mwc	mwc	Are	Western Oceanic	Latn	Are
mwe	mwe	Mwera	Ruvuma	Latn	Mwera (Chimwera)
mwf	mwf	Murrinh-Patha	Daly	Latn	Murrinh-Patha
mwg	mwg	Aiklep	Western Oceanic	Latn	Aiklep
mwh	mwh	Mouk-Aria	Western Oceanic	Latn	Mouk-Aria
mwi	mwi	Labo	North-Central Vanuatu	Latn	Labo
mwk	mwk	Kita Maninkakan	West Manding		Kita Maninkakan
mwl	mwl	Mirandese	West Iberian	Latn	Mirandese
mwm	mwm	Sar	Sara		Sar
mwn	mwn	Nyamwanga	Mwika		Nyamwanga
mwo	mwo	Central Maewo			Central Maewo
mwp	mwp	Kala Lagaw Ya	Pama-Nyungan	Latn	Kala Lagaw Ya
mwq	mwq	Mün Chin	Kukish		Mün Chin
mwr	mwr	Marwari	Western Indo-Aryan	Deva, Mahj	Marwari
mws	mws	Mwimbi-Muthambi	Kikuyu-Kamba	Latn	Mwimbi-Muthambi
mwt	mwt	Moken	Malayo-Polynesian		Moken
mwu	mwu	Mittu	Bongo-Baka	Latn	Mittu
mwv	mwv	Mentawai	Northwest Sumatran	Latn	Mentawai
mww	mww	White Hmong	Hmong	Latn, Hmng	Hmong Daw
mwz	mwz	Moingi			Moingi
mxa	mxa	Northwest Oaxaca Mixtec	Mixtec	Latn	Northwest Oaxaca Mixtec
mxb	mxb	Tezoatlán Mixtec	Mixtec	Latn	Tezoatlán Mixtec
mxd	mxd	Modang	Malayo-Polynesian		Modang
mxe	mxe	Mele-Fila	Nuclear Polynesian	Latn	Mele-Fila
mxf	mxf	Malgbe			Malgbe
mxg	mxg	Mbangala	Yaka		Mbangala
mxh	mxh	Mvuba	Mangbutu-Lese	Latn	Mvuba
mxi	mxi	Mozarabic	West Iberian	Arab, Hebr, Latn	Mozarabic
mxj	mxj	Miju	Midzu	Latn, Deva	Miju-Mishmi
mxk	mxk	Monumbo	Torricelli		Monumbo
mxl	mxl	Maxi Gbe	Gbe		Maxi Gbe
mxm	mxm	Meramera	Western Oceanic	Latn	Meramera
mxn	mxn	Moi (Indonesia)	Papuan		Moi (Indonesia)
mxo	mxo	Mbowe	Kavango		Mbowe
mxp	mxp	Tlahuitoltepec Mixe			Tlahuitoltepec Mixe
mxq	mxq	Juquila Mixe			Juquila Mixe
mxr	mxr	Murik (Malaysia)		Latn	Murik (Malaysia)
mxs	mxs	Huitepec Mixtec	Mixtec	Latn	Huitepec Mixtec
mxt	mxt	Jamiltepec Mixtec	Mixtec	Latn	Jamiltepec Mixtec
mxu	mxu	Mada (Cameroon)	Central Chadic	Latn	Mada (Cameroon)
mxv	mxv	Metlatónoc Mixtec	Mixtec	Latn	Metlatónoc Mixtec
mxw	mxw	Namo			Namo
mxx	mxx	Mahou	Maninka		Mahou
mxy	mxy	Southeastern Nochixtlán Mixtec	Mixtec	Latn	Southeastern Nochixtlán Mixtec
mxz	mxz	Central Masela	Timoric		Central Masela
myb	myb	Mbay	Sara		Mbay
myc	myc	Mayeka	Boan		Mayeka
mye	mye	Myene	Tsogo		Myene
myf	myf	Bambassi	Mao		Bambassi
myg	myg	Manta	Momo	Latn	Manta
myh	myh	Makah	Wakashan	Latn	Makah
myj	myj	Mangayat	Sere		Mangayat
myk	myk	Mamara Senoufo	Suppire-Mamara		Mamara Senoufo
myl	myl	Moma	Malayo-Polynesian		Moma
mym	mym	Me'en	Eastern Sudanic		Me'en
myo	myo	Anfillo	Gonga		Anfillo
myp	myp	Pirahã	Muran	Latn	Pirahã
myr	myr	Muniche			Muniche
mys	mys	Mesmes	Ethiopian Semitic		Mesmes
myu	myu	Mundurukú	Tupian	Latn	Mundurukú
myv	myv	Erzya	Mordvinic	Cyrl	Erzya
myw	myw	Muyuw	Western Oceanic	Latn	Muyuw
myx	myx	Masaba	Masaba-Luhya	Latn	Masaaba
myy	myy	Macuna	Tucanoan	Latn	Macuna
myz	myz	Classical Mandaic	Southeastern Aramaic	Mand	Classical Mandaic
mza	mza	Santa María Zacatepec Mixtec	Mixtec	Latn	Santa María Zacatepec Mixtec
mzb	mzb	Northern Saharan Berber	Berber		Tumzabt
mzc	mzc	Madagascar Sign Language	sign		Madagascar Sign Language
mzd	mzd	Malimba	Sawabantu		Malimba
mze	mze	Morawa			Morawa
mzg	mzg	Monastic Sign Language	sign		Monastic Sign Language
mzh	mzh	Wichí Lhamtés Güisnay	Wichí	Latn	Wichí Lhamtés Güisnay
mzi	mzi	Ixcatlán Mazatec	Mazatecan	Latn	Ixcatlán Mazatec
mzj	mzj	Manya	Maninka		Manya
mzk	mzk	Nigeria Mambila	Mambiloid	Latn	Nigeria Mambila
mzl	mzl	Mazatlán Mixe			Mazatlán Mixe
mzm	mzm	Mumuye	Mumuye	Latn	Mumuye
mzn	mzn	Mazanderani	Mazanderani-Shahmirzadi	mzn-Arab	Mazanderani
mzo	mzo	Matipuhy	Kuikuroan	Latn	Matipuhy
mzp	mzp	Movima	isolate		Movima
mzq	mzq	Mori Atas	Bungku-Tolaki		Mori Atas
mzr	mzr	Marúbo	Panoan	Latn	Marúbo
mzs	mzs	Macanese	creole or pidgin	Latn	Macanese
mzt	mzt	Mintil	Aslian		Mintil
mzu	mzu	Inapang	Papuan	Latn	Inapang
mzv	mzv	Manza	Eastern Gbaya		Manza
mzw	mzw	Deg	Western Gurunsi	Latn	Deg
mzx	mzx	Mawayana	Arawakan		Mawayana
mzy	mzy	Mozambican Sign Language	sign		Mozambican Sign Language
mzz	mzz	Maiadomu	Western Oceanic	Latn	Maiadomu
naa	naa	Namla	Pauwasi	Latn	Namla
nab	nab	Nambikwara	Nambikwaran	Latn	Southern Nambikuára
nac	nac	Narak	Trans-New Guinea	Latn	Narak
nae	nae	Naka'ela	Malayo-Polynesian	Latn	Naka'ela
naf	naf	Nabak	Trans-New Guinea	Latn	Nabak
nag	nag	Naga Pidgin	creole or pidgin	Latn	Naga Pidgin
naj	naj	Nalu	Nalu	Latn	Nalu
nak	nak	Nakanai	Western Oceanic	Latn	Nakanai
nal	nal	Nalik	Western Oceanic	Latn	Nalik
nam	nam	Ngan'gityemerri	Daly	Latn	Ngan'gityemerri
nao	nao	Naaba	Sino-Tibetan		Naaba
nap	nap	Neapolitan	Italo-Dalmatian	Latn	Neapolitan
naq	naq	Khoekhoe	Khoekhoe	Latn	Khoekhoe
nar	nar	Iguta	Jera	Latn	Iguta
nas	nas	Nasioi	South Bougainville	Latn	Naasioi
nat	nat	Hungworo	Kamuku	Latn	Ca̱hungwa̱rya̱
naw	naw	Nawuri	Guang	Latn	Nawuri
nax	nax	Nakwi	Left May	Latn	Nakwi
nay	nay	Ngarrindjeri	Pama-Nyungan	Latn	Ngarrindjeri
naz	naz	Coatepec Nahuatl	Nahuan	Latn	Coatepec Nahuatl
nba	nba	Nyemba	Chokwe-Luchazi	Latn	Nyemba
nbb	nbb	Ndoe	Ekoid	Latn	Ndoe
nbc	nbc	Chang	Konyak-Chang	Latn	Chang Naga
nbd	nbd	Ngbinda	Boan	Latn	Ngbinda
nbe	nbe	Konyak Naga	Konyak-Chang	Latn	Konyak Naga
nbg	nbg	Nagarchal	Dravidian		Nagarchal
nbh	nbh	Ngamo	West Chadic	Latn	Ngamo
nbi	nbi	Mao Naga	Angami-Pochuri	Latn	Mao Naga
nbj	nbj	Ngarinman		Latn	Ngarinyman
nbk	nbk	Nake	Madang	Latn	Nake
nbm	nbm	Ngbaka Ma'bo	Mbaka	Latn	Ngbaka Ma'bo
nbn	nbn	Kuri	Malayo-Polynesian	Latn	Kuri
nbo	nbo	Nkukoli	East-West Upper Cross River	Latn	Nkukoli
nbp	nbp	Nnam	Ekoid	Latn	Nnam
nbq	nbq	Nggem	Trans-New Guinea	Latn	Nggem
nbr	nbr	Numana	Ninzic	Latn	Numana
nbs	nbs	Namibian Sign Language	sign	Latn	Namibian Sign Language
nbt	nbt	Na	Tani	Deva, Latn	Na
nbu	nbu	Rongmei Naga	Zeme	Latn	Rongmei Naga
nbv	nbv	Ngamambo	Momo	Latn	Ngamambo
nbw	nbw	Southern Ngbandi	Ngbandi	Latn	Southern Ngbandi
nby	nby	Ningera	Border	Latn	Ningera
nca	nca	Iyo	Finisterre	Latn	Iyo
ncb	ncb	Central Nicobarese	Nicobarese	Deva, Latn	Central Nicobarese
ncc	ncc	Ponam	Admiralty Islands	Latn	Ponam
ncd	ncd	Nachering	Central Kiranti	Deva	Nachering
nce	nce	Yale	Papuan	Latn	Yale
ncf	ncf	Notsi	Western Oceanic	Latn	Notsi
ncg	ncg	Nisga'a	Tsimshianic	Latn	Nisga'a
nch	nch	Central Huasteca Nahuatl	Nahuan	Latn	Central Huasteca Nahuatl
nci	nci	Classical Nahuatl	Nahuan	Latn	Classical Nahuatl
ncj	ncj	Northern Puebla Nahuatl	Nahuan	Latn	Northern Puebla Nahuatl
nck	nck	Nakara	Arnhem	Latn	Na-kara
ncl	ncl	Michoacán Nahuatl	Nahuan	Latn	Michoacán Nahuatl
ncm	ncm	Nambo		Latn	Nambo
ncn	ncn	Nauna	Admiralty Islands	Latn	Nauna
nco	nco	Sibe	South Bougainville	Latn	Sibe
ncr	ncr	Ncane	Eastern Beboid	Latn	Ncane
ncs	ncs	Nicaraguan Sign Language	sign	Sgnw	Nicaraguan Sign Language
nct	nct	Chothe Naga	Kukish	Beng, Latn	Chothe Naga
ncu	ncu	Chumburung	Guang	Latn	Chumburung
ncx	ncx	Central Puebla Nahuatl	Nahuan	Latn	Central Puebla Nahuatl
ncz	ncz	Natchez		Latn	Natchez
nda	nda	Ndasa	Kele	Latn	Ndasa
ndb	ndb	Kenswei Nsei	Northern Ring	Latn	Kenswei Nsei
ndc	ndc	Ndau	Shona	Latn	Ndau
ndd	ndd	Nde-Nsele-Nta	Ekoid	Latn	Nde-Nsele-Nta
ndf	ndf	Nadruvian		Latn	Nadruvian
ndg	ndg	Ndengereko	Mbinga	Latn	Ndengereko
ndh	ndh	Ndali	Rungwe	Latn	Ndali
