WiktionaryCode	iso-639-3	Canonical name	Family	Scripts	Lang Package Python
gog	gog	Gogo	Ruvu	Latn	Gogo
goh	goh	Old High German	West Germanic	Latn, Runr	Old High German (ca. 750-1050)
goi	goi	Gobasi	Trans-New Guinea	Latn	Gobasi
goj	goj	Gowlan	Southern Indo-Aryan		Gowlan
gol	gol	Gola	Atlantic-Congo		Gola
gon	gon	Gondi	Dravidian	Telu, Gonm, Gong	Gondi
goo	goo	Gone Dau	Central-Eastern Oceanic	Latn	Gone Dau
gop	gop	Yeretuar	Halmahera-Cenderawasih	Latn	Yeretuar
goq	goq	Gorap	creole or pidgin		Gorap
gor	gor	Gorontalo	Philippine	Latn	Gorontalo
got	got	Gothic	East Germanic	Goth, Runr, Latn	Gothic
gou	gou	Gavar	Central Chadic		Gavar
gov	gov	Goo	Mande	Latn	Goo
gow	gow	Gorowa	South Cushitic		Gorowa
gox	gox	Gobu	Central Banda		Gobu
goy	goy	Goundo	Kim		Goundo
goz	goz	Gozarkhani	Tatic		Gozarkhani
gpa	gpa	Gupa-Abawa	Nupe-Gbagyi		Gupa-Abawa
gpn	gpn	Taiap	Papuan		Taiap
gqa	gqa	Ga'anda	Central Chadic	Latn	Ga'anda
gqi	gqi	Guiqiong	Qiangic		Guiqiong
gqn	gqn	Kinikinao	Arawakan		Guana (Brazil)
gqr	gqr	Gor	Sara		Gor
gqu	gqu	Qau	Gelao		Qau
gra	gra	Rajput Garasia	Bhil	Deva, Gujr	Rajput Garasia
grb	grb	Grebo	Grebo	Latn	Grebo
grc	grc	Ancient Greek	Hellenic	polytonic, Cprt	Ancient Greek (to 1453)
grd	grd	Guruntum	West Chadic	Latn	Guruntum-Mbaaru
grg	grg	Madi	Finisterre	Latn	Madi
grh	grh	Gbiri-Niragu	Kauru	Latn	Gbiri-Niragu
gri	gri	Ghari	Southeast Solomonic	Latn	Ghari
grj	grj	Southern Grebo	Grebo	Latn	Southern Grebo
grm	grm	Kota Marudu Talantang	Sabahan	Latn	Kota Marudu Talantang
gro	gro	Groma	Tibetic		Groma
grq	grq	Gorovu	Papuan	Latn	Gorovu
grs	grs	Gresi	Nimboran	Latn	Gresi
grt	grt	Garo	Bodo-Garo	Latn, Beng, Brai	Garo
gru	gru	Kistane	Ethiopian Semitic	Latn	Kistane
grv	grv	Central Grebo	Grebo	Latn	Central Grebo
grw	grw	Gweda	Western Oceanic	Latn	Gweda
grx	grx	Guriaso	Kwomtari	Latn	Guriaso
gry	gry	Barclayville Grebo	Grebo	Latn	Barclayville Grebo
grz	grz	Guramalum	Western Oceanic	Latn	Guramalum
gse	gse	Ghanaian Sign Language	sign	Latn	Ghanaian Sign Language
gsg	gsg	German Sign Language	German Sign Languages	Sgnw	German Sign Language
gsl	gsl	Gusilay	Jola	Latn	Gusilay
gsm	gsm	Guatemalan Sign Language	sign	Latn	Guatemalan Sign Language
gsn	gsn	Gusan	Finisterre	Latn	Nema
gso	gso	Southwest Gbaya	Southern Gbaya	Latn	Southwest Gbaya
gsp	gsp	Wasembo	Madang	Latn	Wasembo
gss	gss	Greek Sign Language	sign		Greek Sign Language
gsw	gsw	Alemannic German	West Germanic	Latn	Swiss German
gta	gta	Guató	isolate	Latn	Guató
gtu	gtu	Aghu Tharrnggala	Paman	Latn	Aghu-Tharnggala
gua	gua	Shiki	Jarawan	Latn	Shiki
gub	gub	Guajajára	Tupi-Guarani	Latn	Guajajára
guc	guc	Wayuu	Ta-Arawakan	Latn	Wayuu
gud	gud	Yocoboué Dida	Dida	Latn	Yocoboué Dida
gue	gue	Gurindji	Pama-Nyungan	Latn	Gurindji
guf	guf	Gupapuyngu	Yolngu	Latn	Gupapuyngu
gug	gug	Paraguayan Guaraní	Tupi-Guarani	Latn	Paraguayan Guaraní
guh	guh	Guahibo	Guahiban	Latn	Guahibo
gui	gui	Eastern Bolivian Guaraní	Tupi-Guarani	Latn	Eastern Bolivian Guaraní
guk	guk	Gumuz	Nilo-Saharan	Latn, Ethi	Gumuz
gul	gul	Gullah	creole or pidgin	Latn	Sea Island Creole English
gum	gum	Guambiano	Barbacoan	Latn	Guambiano
gun	gun	Mbyá Guaraní	Tupi-Guarani	Latn	Mbyá Guaraní
guo	guo	Guayabero	Guahiban	Latn	Guayabero
gup	gup	Gunwinggu	Gunwinyguan	Latn	Gunwinggu
guq	guq	Aché	Tupian	Latn	Aché
gur	gur	Farefare	Moré	Latn	Farefare
gus	gus	Guinean Sign Language	sign	Latn	Guinean Sign Language
gut	gut	Maléku Jaíka	Chibchan	Latn	Maléku Jaíka
guu	guu	Yanomamö	Yanomami	Latn	Yanomamö
guw	guw	Gun	Gbe	Latn	Gun
gux	gux	Gourmanchéma	Gurma	Latn	Gourmanchéma
guz	guz	Gusii	Logooli-Kuria	Latn	Gusii
gva	gva	Kaskihá	Mascoian	Latn	Guana (Paraguay)
gvc	gvc	Guanano	Tucanoan	Latn	Guanano
gve	gve	Duwet	Western Oceanic	Latn	Duwet
gvf	gvf	Golin	Trans-New Guinea	Latn	Golin
gvj	gvj	Guajá	Tupian	Latn	Guajá
gvl	gvl	Gulay	Sara	Latn	Gulay
gvm	gvm	Gurmana	Shiroro	Latn	Gurmana
gvn	gvn	Kuku-Yalanji	Pama-Nyungan	Latn	Kuku-Yalanji
gvo	gvo	Gavião do Jiparaná	Tupian	Latn	Gavião Do Jiparaná
gvp	gvp	Pará Gavião	Northern Jê	Latn	Pará Gavião
gvr	gvr	Western Gurung	Tamangic	Deva	Gurung
gvs	gvs	Gumawana	Western Oceanic	Latn	Gumawana
gvy	gvy	Guyani	Pama-Nyungan	Latn	Guyani
gwa	gwa	Mbato	Potou-Tano	Latn	Mbato
gwb	gwb	Gwa	Jarawan	Latn	Gwa
gwc	gwc	Kalami	Dardic	Arab	Gawri
gwd	gwd	Gawwada	East Cushitic		Gawwada
gwe	gwe	Gweno	Chaga	Latn	Gweno
gwf	gwf	Gowro	Dardic		Gowro
gwg	gwg	Moo	Bikwin-Jen	Latn	Moo
gwi	gwi	Gwich'in	North Athabaskan	Latn	Gwichʼin
gwj	gwj	Gcwi	Kalahari Khoe	Latinx	ǀGwi
gwm	gwm	Awngthim	Paman	Latn	Awngthim
gwn	gwn	Gwandara	West Chadic	Latn	Gwandara
gwr	gwr	Gwere	Nyoro-Ganda	Latn	Gwere
gwt	gwt	Gawar-Bati	Dardic		Gawar-Bati
gwu	gwu	Guwamu	Pama-Nyungan	Latn	Guwamu
gww	gww	Kwini	Worrorran	Latn	Kwini
gwx	gwx	Gua	Guang	Latn	Gua
gxx	gxx	Wè Southern	Wee	Latn	Wè Southern
gya	gya	Northwest Gbaya	Western Gbaya	Latn	Northwest Gbaya
gyb	gyb	Garus	Madang	Latn	Garus
gyd	gyd	Kayardild	Tangkic	Latn	Kayardild
gye	gye	Gyem	Jera	Latn	Gyem
gyf	gyf	Gungabula	Pama-Nyungan	Latn	Gungabula
gyg	gyg	Gbayi	Ngbandi	Latn	Gbayi
gyi	gyi	Gyele	Makaa-Njem	Latn	Gyele
gyl	gyl	Gayil	Aroid	Latn	Gayil
gym	gym	Ngäbere	Chibchan	Latn	Ngäbere
gyn	gyn	Guyanese Creole English	creole or pidgin	Latn	Guyanese Creole English
gyo	gyo	Gyalsumdo	Kyirong-Kagate		Gyalsumdo
gyr	gyr	Guarayu	Tupian	Latn	Guarayu
gyy	gyy	Gunya	Pama-Nyungan	Latn	Gunya
gza	gza	Ganza	Mao	Latn	Ganza
gzn	gzn	Gane	Halmahera-Cenderawasih	Latn	Gane
haa	haa	Hän	North Athabaskan	Latn	Han
hab	hab	Hanoi Sign Language	sign	Latn	Hanoi Sign Language
hac	hac	Gurani	Zaza-Gorani	ku-Arab	Gurani
had	had	Hatam	West Papuan		Hatam
haf	haf	Haiphong Sign Language	sign		Haiphong Sign Language
hag	hag	Hanga	Dagbani	Latn	Hanga
hah	hah	Hahon	Western Oceanic	Latn	Hahon
hai	hai	Haida	isolate	Latn	Haida
haj	haj	Hajong	mixed	as-Beng, Latn	Hajong
hak	hak	Hakka	Sinitic	Hani, Hant, Hans	Hakka Chinese
hal	hal	Halang	Mon-Khmer		Halang
ham	ham	Hewa	Sepik		Hewa
hao	hao	Hakö	Western Oceanic	Latn	Hakö
hap	hap	Hupla	Trans-New Guinea		Hupla
har	har	Harari	Ethiopian Semitic	Ethi	Harari
has	has	Haisla	Wakashan		Haisla
hav	hav	Havu	Shi-Havu	Latn	Havu
haw	haw	Hawaiian	Eastern Polynesian	Latn	Hawaiian
hax	hax	Southern Haida	isolate		Southern Haida
hay	hay	Haya	Haya-Jita		Haya
haz	haz	Hazaragi	Southwestern Iranian		Hazaragi
hba	hba	Hamba	Tetela		Hamba
hbb	hbb	Huba	Central Chadic		Huba
hbn	hbn	Heiban	Heiban		Heiban
hbu	hbu	Habu	Central-Eastern Malayo-Polynesian	Latn	Habu
hca	hca	Andaman Creole Hindi	creole or pidgin		Andaman Creole Hindi
hch	hch	Huichol	Uto-Aztecan	Latn	Huichol
hdn	hdn	Northern Haida	isolate		Northern Haida
hds	hds	Honduras Sign Language	sign	Latn	Honduras Sign Language
hdy	hdy	Hadiyya	East Cushitic		Hadiyya
hea	hea	Northern Qiandong Miao	Hmong		Northern Qiandong Miao
hed	hed	Herdé	Masa		Herdé
heg	heg	Helong	Timoric	Latn	Helong
heh	heh	Hehe	Bena-Kinga	Latn	Hehe
hei	hei	Heiltsuk	Wakashan		Heiltsuk
hem	hem	Hemba	Luban		Hemba
hgm	hgm	Haiǁom	Khoekhoe	Latn	Haiǁom
hgw	hgw	Haigwai	Western Oceanic	Latn	Haigwai
hhi	hhi	Hoia Hoia	Trans-New Guinea		Hoia Hoia
hhr	hhr	Kerak	Jola-Felupe		Kerak
hhy	hhy	Hoyahoya	Trans-New Guinea		Hoyahoya
hia	hia	Lamang	Central Chadic	Latn	Lamang
hib	hib	Hibito			Hibito
hid	hid	Hidatsa	Missouri River Siouan	Latn	Hidatsa
hif	hif	Fiji Hindi	Eastern Hindi	Latn	Fiji Hindi
hig	hig	Kamwe	Central Chadic		Kamwe
hih	hih	Pamosu	Madang		Pamosu
hii	hii	Hinduri	Western Pahari		Hinduri
hij	hij	Hijuk	Basaa		Hijuk
hik	hik	Seit-Kaitetu	Central Maluku		Seit-Kaitetu
hil	hil	Hiligaynon	Philippine	Latn	Hiligaynon
hio	hio	Tshwa	Kalahari Khoe		Tsoa
hir	hir	Himarimã			Himarimã
hit	hit	Hittite	Anatolian	Xsux	Hittite
hiw	hiw	Hiw	North-Central Vanuatu	Latn	Hiw
hix	hix	Hixkaryana	Parukotoan	Latn	Hixkaryána
hji	hji	Haji	Malayic		Haji
hka	hka	Kahe	Chaga	Latn	Kahe
hke	hke	Hunde	Shi-Havu	Latn	Hunde
hkk	hkk	Hunjara-Kaina Ke	Trans-New Guinea		Hunjara-Kaina Ke
hkn	hkn	Mel-Khaonh	Bahnaric		Mel-Khaonh
hks	hks	Hong Kong Sign Language	sign		Hong Kong Sign Language
hla	hla	Halia	Western Oceanic	Latn	Halia
hlb	hlb	Halbi	Eastern Indo-Aryan	Deva, Orya	Halbi
hld	hld	Halang Doan	Bahnaric		Halang Doan
hle	hle	Hlersu	Loloish		Hlersu
hlt	hlt	Nga La	Kukish		Matu Chin
hma	hma	Southern Mashan Hmong	Hmong	Latn	Southern Mashan Hmong
hmb	hmb	Humburi Senni	Songhay		Humburi Senni Songhay
hmc	hmc	Central Huishui Hmong	Hmong		Central Huishui Hmong
hmd	hmd	A-Hmao	Hmong	Latn, Plrd	Large Flowery Miao
hme	hme	Eastern Huishui Hmong	Hmong		Eastern Huishui Hmong
hmf	hmf	Hmong Don	Hmong		Hmong Don
hmg	hmg	Southwestern Guiyang Hmong	Hmong		Southwestern Guiyang Hmong
hmh	hmh	Southwestern Huishui Hmong	Hmong		Southwestern Huishui Hmong
hmi	hmi	Northern Huishui Hmong	Hmong		Northern Huishui Hmong
hmj	hmj	Ge	Hmong		Ge
hmk	hmk	Maek	Koreanic		Maek
hml	hml	Luopohe Hmong	Hmong		Luopohe Hmong
hmm	hmm	Central Mashan Hmong	Hmong		Central Mashan Hmong
hmp	hmp	Northern Mashan Hmong	Hmong		Northern Mashan Hmong
hmq	hmq	Eastern Qiandong Miao	Hmong		Eastern Qiandong Miao
hmr	hmr	Hmar	Kukish		Hmar
hms	hms	Southern Qiandong Miao	Hmong		Southern Qiandong Miao
hmt	hmt	Hamtai	Trans-New Guinea		Hamtai
hmu	hmu	Hamap	Timor-Alor-Pantar		Hamap
hmv	hmv	Hmong Dô	Hmong		Hmong Dô
hmw	hmw	Western Mashan Hmong	Hmong		Western Mashan Hmong
